Station,EArea,x_nad83_utm17n,y_nad83_utm17n,wca1,wca2a,wca2b,wca3a,wca3b,l67ext,pw,other
pseudo_canal_1,Water Conservation Area 2A,556275.7,2926307.3,0,1,0,0,0,0,0,0
pseudo_canal_2,Water Conservation Area 3A,541504.9,2865963.4,0,0,0,1,0,0,0,0
pseudo_canal_3,Water Conservation Area 3A,540158.2,2863976.9,0,0,0,1,0,0,0,0
pseudo_canal_4,Water Conservation Area 3A,534883.4,2856196.4,0,0,0,1,0,0,0,0
pseudo_canal_5,Water Conservation Area 3A,532645.7,2851882.5,0,0,0,1,0,0,0,0
pS12D_DN,Everglades National Park,532618.1,2849322.8,0,0,0,0,0,0,0,1
pNP202NE1,Everglades National Park,532660.8,2840385.2,0,0,0,0,0,1,0,1
pBCA19+LO1,Everglades National Park,491389.9,2840932,0,0,0,0,0,0,0,1
pNP202NE1,Everglades National Park,532710.8,2840385.2,0,0,0,0,0,1,0,1
A13,Everglades National Park,528887.42703,2820049.8076,0,0,0,0,0,0,0,1
CP,Everglades National Park,529818.80732,2790185.11105,0,0,0,0,0,0,0,1
CR2,Everglades National Park,538016.05741,2820226.39782,0,0,0,0,0,0,0,1
CR3,Everglades National Park,533884.83229,2819999.99403,0,0,0,0,0,0,0,1
CT27R,Everglades National Park,551472.2769,2798370.4323,0,0,0,0,0,0,0,1
CT50R,Everglades National Park,548223.82309,2799681.09207,0,0,0,0,0,0,0,1
CV5NR,Everglades National Park,551583.54304,2798524.65276,0,0,0,0,0,0,0,1
CY2,Everglades National Park,531919.14205,2801262.92709,0,0,0,0,0,0,0,1
CY3,Everglades National Park,525097.66035,2801279.28705,0,0,0,0,0,0,0,1
DO1,Everglades National Park,531097.05947,2806182.40568,0,0,0,0,0,0,0,1
DO2,Everglades National Park,525727.88067,2807985.852,0,0,0,0,0,0,0,1
E112,Everglades National Park,539240.68496,2811955.63341,0,0,0,0,0,0,0,1
E146,Everglades National Park,533588.89016,2793085.20156,0,0,0,0,0,0,0,1
EP1R,Everglades National Park,555056.9,2796891.8,0,0,0,0,0,0,0,1
EPSW,Everglades National Park,549526.78839,2795102.69076,0,0,0,0,0,0,0,1
EVER6,Everglades National Park,549180.85904,2797931.26814,0,0,0,0,0,0,0,1
EVER7,Everglades National Park,546072.44396,2799212.1947,0,0,0,0,0,0,0,1
EVER8,Everglades National Park,552487.89912,2803265.09093,0,0,0,0,0,0,0,1
L31W,Everglades National Park,541247.54585,2813407.33544,0,0,0,0,0,0,0,1
NCL,Everglades National Park,525730.63655,2791837.67527,0,0,0,0,0,0,0,1
NMP,Coast of Gulf of Mexico,520328.6,2793072,0,0,0,0,0,0,0,1
NP201,Everglades National Park,528138.14036,2844348.3444,0,0,0,0,0,0,0,1
NP202,Everglades National Park,529238.27941,2838290.99691,0,0,0,0,0,1,0,1
NP203,Everglades National Park,526235.85737,2833947.6093,0,0,0,0,0,1,0,1
NP205,Everglades National Park,515267.3468,2841220.57591,0,0,0,0,0,0,0,1
NP206,Everglades National Park,532950.58963,2825257.52887,0,0,0,0,0,1,0,1
NP44,Everglades National Park,528120.54103,2812973.57643,0,0,0,0,0,0,0,1
NP46,Everglades National Park,520542.31352,2800225.81507,0,0,0,0,0,0,0,1
NP62,Everglades National Park,521834.87392,2813515.56579,0,0,0,0,0,0,0,1
NP67,Everglades National Park,535189.52071,2801486.36591,0,0,0,0,0,0,0,1
NP72,Everglades National Park,529861.82732,2808701.83643,0,0,0,0,0,0,0,1
NTS1,Everglades National Park,540940.39071,2813375.63581,0,0,0,0,0,0,0,1
NTS10,Everglades National Park,539703.66546,2815986.47502,0,0,0,0,0,0,0,1
NTS14,Everglades National Park,536337.72522,2811116.97333,0,0,0,0,0,0,0,1
NTS18,Everglades National Park,543576.93083,2818613.0685,0,0,0,0,0,0,0,1
OL,Everglades National Park,538956.66471,2794206.88625,0,0,0,0,0,0,0,1
OT,Everglades National Park,503563.88589,2829031.62672,0,0,0,0,0,0,0,1
P33,Everglades National Park,529891.45443,2832970.99734,0,0,0,0,0,1,0,1
P34,Everglades National Park,505933.85342,2832231.41296,0,0,0,0,0,0,0,1
P35,Everglades National Park,513620.73202,2815873.19046,0,0,0,0,0,0,0,1
P36,Everglades National Park,520534.98671,2823356.40585,0,0,0,0,0,0,0,1
P37,Everglades National Park,531371.13486,2796463.30909,0,0,0,0,0,0,0,1
P38,Everglades National Park,516760.87178,2805880.1517,0,0,0,0,0,0,0,1
R127,Everglades National Park,539626.90668,2804113.17744,0,0,0,0,0,0,0,1
R3110,Everglades National Park,537585.6584,2814411.64659,0,0,0,0,0,0,0,1
RG1,Everglades National Park,539384.90339,2829396.75826,0,0,0,0,0,1,0,1
RG2,Everglades National Park,539592.96092,2825090.99466,0,0,0,0,0,1,0,1
RG3,Everglades National Park,542685,2825294,0,0,0,0,0,1,0,1
SP,Everglades National Park,520390.77873,2808007.48637,0,0,0,0,0,0,0,1
SPARO,Everglades National Park,517147,2846252,0,0,0,0,0,0,0,1
SR1,Everglades National Park,518962.76913,2806906.17351,0,0,0,0,0,0,0,1
TMC,Everglades National Park,512822.47205,2832943.68971,0,0,0,0,0,0,0,1
TSB,Everglades National Park,539496.657,2809627.565,0,0,0,0,0,0,0,1
TSH,Everglades National Park,537180.09126,2799430.8627,0,0,0,0,0,0,0,1
3A10+,Water Conservation Area 3A,525980.05034,2906666.28749,0,0,0,1,0,0,0,0
3A11+,Water Conservation Area 3A,525605.14243,2899897.81733,0,0,0,1,0,0,0,0
3A12+,Water Conservation Area 3A,532417.15212,2894468.1342,0,0,0,1,0,0,0,0
3AN1W1+,Water Conservation Area 3A,525972.57832,2896545.47425,0,0,0,1,0,0,0,0
3ANE+GW,Water Conservation Area 3A,539459.06862,2906638.86975,0,0,0,1,0,0,0,0
3ANW+GW,Water Conservation Area 3A,521937.21205,2905238.33655,0,0,0,1,0,0,0,0
3AS+,Water Conservation Area 3A,531579.53911,2884991.38394,0,0,0,1,0,0,0,0
3AS3W1+,Water Conservation Area 3A,522955.7515,2859933.84066,0,0,0,1,0,0,0,0
3ASW+,Water Conservation Area 3A,516424.37867,2874596.98244,0,0,0,1,0,0,0,1
3B-SE+,Water Conservation Area 3B,550178.6919,2852319.04751,0,0,0,0,1,0,0,0
3BS1W1+,Water Conservation Area 3B,549012.0536,2851484.11647,0,0,0,0,1,0,0,0
ANGEL.S,Everglades National Park,546009,2833971,0,0,0,0,0,1,0,1
BARW4+,Big Cypress National Preserve,465270.02246,2875162.98931,0,0,0,0,0,0,0,1
BARW6A+,Big Cypress National Preserve,465524.17749,2881398.54964,0,0,0,0,0,0,0,1
BCA1+,Big Cypress National Preserve,467985.59625,2902579.23122,0,0,0,0,0,0,0,1
BCA10+,Big Cypress National Preserve,497798.554,2843968.88914,0,0,0,0,0,0,0,1
BCA11+,Big Cypress National Preserve,489974.43379,2852339.52645,0,0,0,0,0,0,0,1
BCA12+,Big Cypress National Preserve,491340.70229,2896882.11973,0,0,0,0,0,0,0,1
BCA13+,Big Cypress National Preserve,494638.95876,2885990.32312,0,0,0,0,0,0,0,1
BCA14+,Big Cypress National Preserve,469987.92123,2880640.29297,0,0,0,0,0,0,0,1
BCA15+,Big Cypress National Preserve,497325.257,2880093.25252,0,0,0,0,0,0,0,1
BCA16+,Big Cypress National Preserve,484432.60088,2881978.74774,0,0,0,0,0,0,0,1
BCA17+,Big Cypress National Preserve,483203.48713,2898406.98271,0,0,0,0,0,0,0,1
BCA18+,Big Cypress National Preserve,501686.05529,2898580.7298,0,0,0,0,0,0,0,1
BCA19+,Big Cypress National Preserve,479719.22432,2852793.27423,0,0,0,0,0,0,0,1
BCA2+,Big Cypress National Preserve,471164.52433,2897434.25941,0,0,0,0,0,0,0,1
BCA20+,Big Cypress National Preserve,506542.12181,2843182.06353,0,0,0,0,0,0,0,1
BCA3+,Big Cypress National Preserve,477845.59033,2893052.76204,0,0,0,0,0,0,0,1
BCA4+,Big Cypress National Preserve,489599.27602,2870950.61124,0,0,0,0,0,0,0,1
BCA5+,Big Cypress National Preserve,507368.80341,2872179.03558,0,0,0,0,0,0,0,1
BCA9+,Big Cypress National Preserve,508801.01827,2851138.96385,0,0,0,0,0,0,0,1
G-3273,Everglades National Park,542575.9,2834820.4,0,0,0,0,0,1,0,1
G300-T,L40 Canal,563360.30142,2950824.01755,1,0,0,0,0,0,0,0
G339-H,L6 Canal,554571.67792,2927121.84328,0,1,0,0,0,0,0,0
G339-T,L6 Canal,554557.9189,2927098.96899,0,1,0,0,0,0,0,0
L28S1+,L28 Canal,515715.50503,2886100.82588,0,0,0,1,0,0,0,1
L28S2+,L28 Canal,516521.06714,2886101.81935,0,0,0,1,0,0,0,1
L28GAP+,Big Cypress National Preserve,501659.43983,2889475.26924,0,0,0,0,0,0,0,1
LOOP1+T,Big Cypress National Preserve,509241.25556,2849228.29065,0,0,0,0,0,0,0,1
LOOP2+H,Big Cypress National Preserve,504624.73097,2847630.73516,0,0,0,0,0,0,0,1
LOOP2+T,Big Cypress National Preserve,504601.42265,2847616.89664,0,0,0,0,0,0,0,1
S140M-H,L28 Canal,517207.40416,2894700.00838,0,0,0,1,0,0,0,0
S140M-T,Water Conservation Area 3A,517275.03363,2894702.87374,0,0,0,1,0,0,0,0
S141@H,Water Conservation Area 2B,555755.44005,2892486.86403,0,0,1,0,0,0,0,0
S141@T,L38E Canal,555712.98999,2892496.30599,0,0,1,0,0,0,0,0
S142-H,Water Conservation Area 3A,555326.92522,2893522.65096,0,0,0,1,0,0,0,0
S142-T,L38E Canal,555489.7133,2893542.979,0,0,1,0,0,0,0,0
S143-T,L38E Canal,555136.92483,2895305.44465,0,0,1,0,0,0,0,0
S144+H,Water Conservation Area 2A,560158.67736,2900008.91153,0,1,0,0,0,0,0,0
S144+T,Water Conservation Area 2B,560164.60109,2899975.54116,0,0,1,0,0,0,0,0
S145+H,Water Conservation Area 2A,563348.90881,2900416.90143,0,1,0,0,0,0,0,0
S145+T,Water Conservation Area 2B,563352.07343,2900385.74761,0,0,1,0,0,0,0,0
S146+H,Water Conservation Area 2A,566576.24289,2900838.88666,0,1,0,0,0,0,0,0
S146+T,Water Conservation Area 2B,566581.4133,2900799.44248,0,0,1,0,0,0,0,0
S150M-T,Water Conservation Area 3A,545964.12248,2912820.6276,0,0,0,1,0,0,0,0
S151+H,Miami Canal,549024.27547,2877054.84524,0,0,0,1,0,0,0,0
S175-H,L31W Canal,542862.3576,2811294.50867,0,0,0,0,0,0,0,1
S190M-T,L28 Interceptor Canal,503213.05499,2907051.93548,0,0,0,0,0,0,0,1
S333-H,Tamiami Canal,532668.14889,2849372.81589,0,0,0,1,0,0,0,0
S333-T,Tamiami Canal,532774.07287,2849335.34986,0,0,0,1,0,1,0,0
S334-H,Tamiami Canal,549864.36672,2849342.30628,0,0,0,1,0,1,0,0
S334-T,Tamiami Canal,549992.44677,2849340.37219,0,0,0,1,0,0,0,0
S343A+H,Water Conservation Area 3A,514522.21765,2852358.686,0,0,0,1,0,0,0,0
S343A+T,L28 Canal,514478.45889,2852324.33703,0,0,0,0,0,0,0,1
S343B+H,Water Conservation Area 3A,515652.04864,2851135.29455,0,0,0,1,0,0,0,0
S343B+T,L28 Canal,515620.34707,2851104.98603,0,0,0,0,0,0,0,1
S344+H,Water Conservation Area 3A,516395.17716,2866714.37923,0,0,0,1,0,0,0,0
S344+T,Big Cypress National Preserve,516353.5461,2866724.15187,0,0,0,0,0,0,0,1
S34-H,L38E Canal,555714.49958,2892479.60455,0,0,1,0,0,0,0,0
S39-H,L39 Canal,570050.07333,2915284.56938,1,0,0,0,0,0,0,0
S7-T,L38E Canal,546248.38179,2912887.48541,0,1,0,0,0,0,0,0
S9A-T,Water Conservation Area 3B,555630.4603,2882614.64951,0,0,0,0,0,0,0,0
WC2AN1+,Water Conservation Area 2A,554225.819,2925386.4203,0,1,0,0,0,0,0,0
WC2AS1+,Water Conservation Area 2A,550618.6016,2918999.5387,0,1,0,0,0,0,0,0
WCA2F4+,Water Conservation Area 2A,561404.79273,2910969.92976,0,1,0,0,0,0,0,0
WCA2U1+,Water Conservation Area 2A,564330.06346,2902585.56697,0,1,0,0,0,0,0,0
EDEN_10,Water Conservation Area 3B,538377.05792,2851960.82743,0,0,0,0,1,0,0,0
EDEN_11,Water Conservation Area 2A,553893.79591,2918188.09869,0,1,0,0,0,0,0,0
EDEN_12,Water Conservation Area 3A,541222.58584,2877040.8401,0,0,0,1,0,0,0,0
EDEN_13,Water Conservation Area 2B,562816.46259,2895370.04681,0,0,1,0,0,0,0,0
EDEN_14,Water Conservation Area 3A,524254.59256,2883396.96493,0,0,0,1,0,0,0,0
EDEN_3,Everglades National Park,506727.06948,2821669.03987,0,0,0,0,0,0,0,1
EDEN_4,Water Conservation Area 3A,549305.16927,2886113.2925,0,0,0,1,0,0,0,0
EDEN_5,Water Conservation Area 3A,524715.51993,2889396.58287,0,0,0,1,0,0,0,0
EDEN_6,Big Cypress National Preserve,509613.25637,2882916.51554,0,0,0,1,0,0,0,1
EDEN_7,Water Conservation Area 3B,550198.5087,2870488.89024,0,0,0,0,1,0,0,0
EDEN_8,Water Conservation Area 3A,532005.36025,2860957.07668,0,0,0,1,0,0,0,0
EDEN_9,Water Conservation Area 3A,540732.67048,2900327.20623,0,0,0,1,0,0,0,0
EVER4,Everglades National Park,545619.8,2802535.1,0,0,0,0,0,0,0,1
EVER5A,Everglades National Park,543033.1,2796697.6,0,0,0,0,0,0,0,1
G-1251,Everglades National Park,543705.7,2800572.4,0,0,0,0,0,0,0,1
G-1488,Pennsuco Wetlands,551887,2855689,0,0,0,0,0,0,1,0
G-3272,Everglades National Park,546274.5,2838660,0,0,0,0,0,1,0,1
G-3437,Everglades National Park,543483,2827804,0,0,0,0,0,1,0,1
G-3567,Pennsuco Wetlands,556509,2864737,0,0,0,0,0,0,1,0
G-3574,Everglades National Park,550358,2847691,0,0,0,0,0,1,0,0
G-3575,Everglades National Park,550547,2842792,0,0,0,0,0,1,0,1
G-3576,Everglades National Park,548717,2847627,0,0,0,0,0,1,0,0
G-3577,Everglades National Park,550109,2842845,0,0,0,0,0,1,0,1
G-3578,Everglades National Park,548827,2842859,0,0,0,0,0,1,0,1
G-3626,Everglades National Park,549068,2833537,0,0,0,0,0,1,0,1
G-3628,Everglades National Park,546730,2830818,0,0,0,0,0,1,0,1
G-3676,Pennsuco Wetlands,557763,2852293,0,0,0,0,0,0,1,0
G-3761,Pennsuco Wetlands,556768,2858275,0,0,0,0,0,0,1,0
G-3818,Pennsuco Wetlands,554996.2523,2858473.611,0,0,0,0,0,0,1,0
G-596,Everglades National Park,548990,2835686,0,0,0,0,0,1,0,1
G-620,Everglades National Park,523441.4,2837621.9,0,0,0,0,0,0,0,1
G-975,Pennsuco Wetlands,554455.2332,2861399.992,0,0,0,0,0,0,1,0
JOEBAY2E,Coast of Florida Bay,547898.04536,2790715.76319,0,0,0,0,0,0,0,1
MCCORMICK,Coast of Florida Bay,527034.01866,2783566.31699,0,0,0,0,0,0,0,1
MO-214,Everglades National Park,497463.68,2832744.37,0,0,0,0,0,0,0,1
MO-215,Everglades National Park,515257.06,2817266.59,0,0,0,0,0,0,0,1
MO-216,Big Cypress National Preserve,483516,2845679,0,0,0,0,0,0,0,1
MUD,Coast of Florida Bay,541970.27471,2787541.30346,0,0,0,0,0,0,0,1
NESRS1,Everglades National Park,536672.91666,2841631.53127,0,0,0,0,0,1,0,0
NESRS2,Everglades National Park,544745.07573,2844886.15957,0,0,0,0,0,1,0,0
NESRS4,Everglades National Park,534848.00743,2836028.27295,0,0,0,0,0,1,0,1
NORTH_CA1,Water Conservation Area 1,564356.19402,2941626.1392,1,0,0,0,0,0,0,0
S10A_UP,L39 Canal,568592.5526,2915744.44244,1,0,0,0,0,0,0,0
S10A_DN,Water Conservation Area 2A,568563.44817,2915633.12034,0,1,0,0,0,0,0,0
S10C_UP,L39 Canal,564597.90737,2917008.86656,1,0,0,0,0,0,0,0
S10C_DN,Water Conservation Area 2A,564583.85552,2916947.98575,0,1,0,0,0,0,0,0
S10D_UP,L39 Canal,561683.29865,2918858.31254,1,0,0,0,0,0,0,0
S10D_DN,Water Conservation Area 2A,561635.81371,2918827.89572,0,1,0,0,0,0,0,0
S11A_UP,Water Conservation Area 2A,555115.46094,2895405.33501,0,1,0,0,0,0,0,0
S11A_DN,Water Conservation Area 3A,555030.78209,2895390.86719,0,0,0,1,0,0,0,0
S11B_UP,Water Conservation Area 2A,554557.92223,2898235.15444,0,1,0,0,0,0,0,0
S11B_DN,Water Conservation Area 3A,554456.54517,2898221.27992,0,0,0,1,0,0,0,0
S11C_UP,Water Conservation Area 2A,553950.85712,2901225.21382,0,1,0,0,0,0,0,0
S11C_DN,Water Conservation Area 3A,553853.04704,2901210.42174,0,0,0,1,0,0,0,0
S12A_UP,Tamiami Canal,517940.03417,2849363.57371,0,0,0,1,0,0,0,0
S12A_DN,Everglades National Park,517941.19781,2849281.22984,0,0,0,0,0,0,0,1
S12B_UP,Tamiami Canal,523115.61914,2849372.19438,0,0,0,1,0,0,0,0
S12B_DN,Everglades National Park,523113.30359,2849299.58988,0,0,0,0,0,0,0,1
S12C_UP,Tamiami Canal,527382.65301,2849386.19916,0,0,0,1,0,0,0,0
S12C_DN,Everglades National Park,527381.62705,2849310.26192,0,0,0,0,0,0,0,1
S12D_UP,Tamiami Canal,531912.8957,2849401.65809,0,0,0,1,0,0,0,0
S12D_DN,Everglades National Park,531907.94172,2849325.47991,0,0,0,0,0,0,0,1
S18C_DN,C111 Canal,547801.27152,2800571.61853,0,0,0,0,0,0,0,1
SITE_17,Water Conservation Area 2A,558813.96664,2907573.82769,0,1,0,0,0,0,0,0
SITE_19,Water Conservation Area 2A,569272.03782,2907133.42743,0,1,0,0,0,0,0,0
SITE_62,Water Conservation Area 3A,524865.1692,2895066.72984,0,0,0,1,0,0,0,0
SITE_63,Water Conservation Area 3A,546872.50099,2896696.4028,0,0,0,1,0,0,0,0
SITE_64,Water Conservation Area 3A,533109.96247,2873028.91344,0,0,0,1,0,0,0,0
SITE_65,Water Conservation Area 3A,528087.22889,2855206.63528,0,0,0,1,0,0,0,0
SITE_69W,Water Conservation Area 3A,541144.94,2865433.8,0,0,0,1,0,0,0,0
SITE_7,Water Conservation Area 1,565061.87848,2933415.3861,1,0,0,0,0,0,0,0
SITE_71,Water Conservation Area 3B,544405.4667,2863003.27872,0,0,0,0,1,0,0,0
SITE_76,Water Conservation Area 3B,551781.67653,2876657.8088,0,0,0,0,1,0,0,0
SITE_8C,Water Conservation Area 1,577474.79763,2931309.20303,1,0,0,0,0,0,0,0
SITE_8T,Water Conservation Area 1,576266.93,2931241.7,1,0,0,0,0,0,0,0
SITE_9,Water Conservation Area 1,570077.5333,2927288.80073,1,0,0,0,0,0,0,0
SITE_99,Water Conservation Area 2B,563276.52689,2891043.99952,0,0,1,0,0,0,0,0
SOUTH_CA1,Water Conservation Area 1,565752.40847,2922897.2664,1,0,0,0,0,0,0,0
SRS1,Water Conservation Area 3B,542265.46141,2853460.2802,0,0,0,0,1,0,0,0
STILLWATER,Coast of Florida Bay,551726.65056,2790343.28005,0,0,0,0,0,0,0,1
Tamiami_Canal_40-Mile,Big Cypress National Preserve,501948,2859226,0,0,0,0,0,0,0,1
Tamiami_Canal_Monroe,Big Cypress National Preserve,473771,2863234,0,0,0,0,0,0,0,1
TAYLORRIVER,Coast of Florida Bay,536376.84396,2786171.79607,0,0,0,0,0,0,0,1
TI-9,Water Conservation Area 3B,540141.95423,2857718.58413,0,0,0,0,1,0,0,0
TROUT,Coast of Florida Bay,547003.17311,2788849.66495,0,0,0,0,0,0,0,1
TAYLOR_UP,Coast of Florida Bay,535475.27983,2788445.51219,0,0,0,0,0,0,0,1
W11,Water Conservation Area 3A,525031.57495,2869370.75538,0,0,0,1,0,0,0,0
W18,Water Conservation Area 3A,522127.95393,2875917.89173,0,0,0,1,0,0,0,0
W2,Water Conservation Area 3A,519158.29039,2853518.55355,0,0,0,1,0,0,0,0
WEST_HIGHWAY,Coast of Florida Bay,555693.23372,2791958.468,0,0,0,0,0,0,0,1
